"Timestamp","Programme of Study","Faculty of Your study"," Name of the Department ","Semester of Study","Residence","Gender","Category","Academic [Content of Syllabi of the courses]","Academic [Experience with extend and delivery of syllabus covered in the class]","Academic [Use  of teaching aids and ICT in the class to facilitate teaching ]","Academic [Experience with Internal assessement]","Academic [Student Teacher Interaction]","Academic [Use of non-traditional methods of evaluation like quiz, assignments, seminar, presentation etc.]","Academic [Integration of theory and practical classes]","Academic [Stimulation for innovative thinking]","Academic [Overall Learning experience]","Academic [Condition of Lab Equipment ]","Academic [Availability of Online resources]","Academic [Research facilities in the Department for research projects/M.Phil./Ph.D.]","Academic [Opportunity to participate in seminar/workshop/conference]","Academic [Experience with research guidance]","Academic [Participation in cio-academic and cultural events]","Infrastructure [Class room Facilities ( LCD/Audio/Computer etc.)]","Infrastructure [Food Outlets/Canteens]","Infrastructure [Libraryu Reading Room Facility]","Infrastructure [Library digital resources and reading material support]","Infrastructure [Internet Facility]","Infrastructure [University Website]","Infrastructure [Department Website]","Infrastructure [Sports facilities]","Infrastructure [Hostel Facility]","Infrastructure [Drinking Water Facility]","Infrastructure [Washroom Facilities]","Support System [Experience of the admission process to the programme you have enrolled in]","Support System [Help received by Orientation programme of the Department]","Support System [Experience with University's Administrative Staff]","Support System [Experience with Department's Administrative Staff]","Support System [Experience with Announcement of result]","Support System [Experience with Availability of Marksheet]","Support System [Experience with evaluation process ]","Support System [Provision of transport facility]","Support System [Availability of healthcare facility]","Support System [Functioning of Placement Cell of the University]","Support System [Functioning of Placement Cell of the Department]","Skills developed during course of study [Analytical Skills]","Skills developed during course of study [Team work/Collaboration Skills]","Skills developed during course of study [Entrepreneurial/Job Skills]","Skills developed during course of study [Clarity of Career Perspective]","Skills developed during course of study [IT Skills]","Skills developed during course of study [Communication Skills]","Skills developed during course of study [Time Management]","Skills developed during course of study [Problem Siolving Skills]","Skills developed during course of study [Leadership Qualities]","Skills developed during course of study [Critical Thinking]","Overall University Experience [Your Overall academic experience]","Overall University Experience [Would you recommend this University to others including ]","Suggestions, if any:"
"2022/05/08 2:34:30 PM GMT+5:30","Masters","Commerce","Commerce ","II","Local","Female","OBC","Good","Average","Average","Below Average","Good","Average","Average","Average","Average","Average","Good","Average","Average","Below Average","Average","Average","Average","Good","Good","Good","Good","Good","Average","Average","Good","Below Average","Good","Very Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Averge","Good","Very Good","Averge","Very Good","Good","Good","Averge","Good","Good","Very Good","No suggestions "
"2022/05/08 2:58:04 PM GMT+5:30","Masters","Interdisciplinary","Genetics ","II","NCR","Female","General","Good","Below Average","Average","Average","Good","Average","Average","Good","Below Average","Below Average","Below Average","Don't know","Below Average","Don't know","Don't know","Good","Below Average","Good","Below Average","Very Good","Very Good","Below Average","Below Average","Average","Very Good","Very Good","Below Average","Below Average","Good","Very Good","Below Average","Below Average","Average","Not  Applicable","Not  Applicable","Don't Know","Below Average","Good","Good","Below Average","Below Average","Averge","Averge","Averge","Good","Below Average","Good","Below Average","Below Average","The admission process and academic year should begin at the correct time and not at a delay of 6 months.
The 2 year programme of masters should not be shortened to a 1year-6month programme due to delay in beginning the session.
The students should be given atleast 2 months of summer break so that they get an opportunity of enrolling into internships and workshops"
"2022/05/08 3:09:44 PM GMT+5:30","Masters","Science","Department of biochemistry ","II","Hostel","Female","EWS","Good","Good","Very Good","Good","Very Good","Good","Good","Very Good","Very Good","Good","Good","Good","Don't know","Good","Average","Very Good","Average","Average","Average","Average","Average","Average","Average","Good","Average","Average","Average","Good","Good","Good","Don't Know","Don't Know","Don't Know","Don't Know","Good","Not  Applicable","Not  Applicable","Good","Very Good","Not Applicable","Don't Know","Not Applicable","Good","Good","Good","Good","Good","Good","Don't Know","N/A"
"2022/05/08 4:22:12 PM GMT+5:30","Masters","Science","Department of Biochemistry","II","NCR","Female","EWS","Very Good","Excellent","Excellent","Very Good","Excellent","Very Good","Excellent","Very Good","Excellent","Very Good","Very Good","Very Good","Very Good","Excellent","Very Good","Very Good","Average","Very Good","Excellent","Good","Good","Very Good","Very Good","Not applicable","Average","Average","Very Good","Very Good","Very Good","Very Good","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Very Good","Excellent","Good","Very Good","Very Good","Excellent","Very Good","Very Good","Excellent","Excellent","Excellent","Excellent","No"
"2022/05/08 6:34:52 PM GMT+5:30","Ph.D","Science;Interdisciplinary","Department of Biochemistry ","I","Hostel","Male","OBC","Don't know","Very Good","Very Good","Don't know","Excellent","Don't know","Don't know","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Average","Average","Good","Good","Average","Average","Good","Below Average","Average","Average","Average","Below Average","Average","Average","Good","Very Good","Don't Know","Don't Know","Very Good","Good","Don't Know","Don't Know","Very Good","Very Good","Don't Know","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Average","none"
"2022/05/08 6:48:38 PM GMT+5:30","Masters","Science","Department of Physics and Astrophysics","IV","PG/Rented","Female","OBC","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Very Good","Very Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Very Good","No"
"2022/05/08 10:00:42 PM GMT+5:30","UG","Arts","Department of germanic and romance studies ","II","PG/Rented","Female","EWS","Good","Very Good","Below Average","Good","Excellent","Below Average","Don't know","Average","Good","Not applicable","Good","Excellent","Not applicable","Average","Not applicable","Below Average","Average","Good","Below Average","Below Average","Good","Average","Below Average","Below Average","Good","Average","Average","Good","Average","Average","Don't Know","Don't Know","Average","Below Average","Below Average","Below Average","Below Average","Averge","Averge","Below Average","Averge","Below Average","Very Good","Good","Below Average","Averge","Below Average","Average","Good","There should be developed societies and department own placement cell."
"2022/05/08 10:34:05 PM GMT+5:30","Masters","Commerce","Department of commerce","II","Local;NCR","Male","SC;PwD","Good","Good","Average","Average","Very Good","Average","Average","Very Good","Very Good","Not applicable","Don't know","Not applicable","Excellent","Excellent","Excellent","Average","Average","Good","Good","Good","Good","Average","Good","Don't know","Excellent","Excellent","Good","Good","Good","Good","Good","Not  Applicable","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Good","Good","."
"2022/05/08 10:36:27 PM GMT+5:30","Ph.D","Interdisciplinary","Genetics","Beyond VI","Hostel","Female","General","Good","Very Good","Good","Good","Average","Average","Good","Average","Good","Very Good","Good","Very Good","Good","Good","Good","Very Good","Average","Good","Good","Below Average","Good","Good","Average","Below Average","Below Average","Below Average","Good","Good","Good","Good","Good","Average","Average","Below Average","Average","Below Average","Below Average","Good","Good","Good","Averge","Averge","Good","Good","Good","Averge","Good","Good","Good","Please provide a stationary store where regular items can be available in the South Campus 24x7 and the canteen service should be extended atleast till 10pm."
"2022/05/08 11:23:40 PM GMT+5:30","Masters","Science","Department of Electronic Sciences","IV","NCR","Male","EWS","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Faculty here is very supportive and very knowledgeable"
"2022/05/08 11:56:34 PM GMT+5:30","Masters","Science;Interdisciplinary","Department of Biochemistry ","II","Local","Female","General","Excellent","Very Good","Excellent","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Good","Very Good","Average","Excellent","Average","Excellent","Average","Excellent","Excellent","Below Average","Excellent","Excellent","Excellent","Not applicable","Don't know","Don't know","Very Good","Excellent","Very Good","Excellent","Very Good","Average","Excellent","Below Average","Excellent","Average","Average","Excellent","Excellent","Good","Excellent","Good","Very Good","Excellent","Excellent","Good","Excellent","Very Good","Very Good","The canteen at the South Campus can be improved by adding more options at student friendly rates  "
"2022/05/09 7:54:31 AM GMT+5:30","Masters","Interdisciplinary","Department of commerce","II","NCR","Male","OBC","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Very Good","Averge","Good","Good","Very Good","Good","Good","Excellent","Don't Know","No suggestions "
"2022/05/09 10:27:53 AM GMT+5:30","Masters","Interdisciplinary","Department of Electronic Science","IV","Local","Male","OBC","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Don't know","Don't know","Don't know","Don't know","Don't know","Good","Good","Don't know","Don't know","Don't know","Don't know","Good","Don't Know","Good","Average","Good","Good","Good","Don't Know","Don't Know","Below Average","Below Average","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Good","Good","Very Good","Very Good","Good","Average","There should be a separate placement cell for every department or at least it should  be there . In off campus it is easy to take the job  but competition is too high , it takes time. As it is a central university so it should have also standards like others NIT's and IIt's. "
"2022/05/09 10:45:58 AM GMT+5:30","Masters","Commerce","Department of Commerce","II","PG/Rented","Female","ST","Excellent","Excellent","Very Good","Very Good","Excellent","Very Good","Very Good","Excellent","Very Good","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Average","Good","Good","Good","Below Average","Good","Good","Below Average","Below Average","Average","Below Average","Very Good","Very Good","Excellent","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Excellent","Excellent","Excellent","Excellent","Very Good","Excellent","Good","Excellent","Very Good","Excellent","Very Good","Very Good","Excellent","Excellent","No"
"2022/05/09 1:19:41 PM GMT+5:30","M.Phil","Social Sciences","African studies","III","NCR","Male","OBC","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","No"
"2022/05/09 1:27:36 PM GMT+5:30","M.Phil","Social Sciences","African Studies","III","PG/Rented","Male","ST","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Very Good","Not applicable","Very Good","Very Good","Very Good","Good","Good","Good","Below Average","Good","Good","Average","Good","Average","Not applicable","Average","Average","Good","Very Good","Good","Average","Average","Average","Average","Good","Average","Average","Average","Average","Very Good","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Very Good","Not Applicable","Very Good","Very Good","Very Good","Non teaching staff is not cooperative in fellowship and hra cell. Overall good university. "
"2022/05/09 1:31:28 PM GMT+5:30","M.Phil","Social Sciences","Department of African Studies","IV","PG/Rented","Female","OBC","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Below Average","Below Average","Below Average","Good","Average","Average","Average","Average","Below Average","Below Average","Below Average","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","All good"
